Switch series,Model,Device Type,Role,Form Factor (RU),Downlink Speeds,Max Uplink Speed,Line Card Slots,Supervisor/Fabric Modules,Throughput,OS/Mode,Features,Maximum possible port number,Short description,Use case,Datasheet link,Notes
Nexus 9300 800G,N9364E-SP2R-O,Fixed,Spine,3 RU,100/200/400/800G,800G,,,102.4 Tbps (full duplex),NX-OS,"VXLAN, EVPN, deep buffer (Silicon One P200), scale-across DCI",64 x 800G (breakout to 400/200/100G),3 RU 64-port 800G OSFP deep-buffer spine on Silicon One P200; 16 GB HBM for bursty AI traffic,"AI scale-across / DCI, deep-buffer spine",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sp2r-switches-ds.html,
Nexus 9300 800G,N9364E-SP2R-Q,Fixed,Spine,3 RU,100/200/400/800G,800G,,,102.4 Tbps (full duplex),NX-OS,"VXLAN, EVPN, deep buffer (Silicon One P200), scale-across DCI",64 x 800G (breakout to 400/200/100G),3 RU 64-port 800G QSFP-DD deep-buffer spine on Silicon One P200; 16 GB HBM for bursty AI traffic,"AI scale-across / DCI, deep-buffer spine",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sp2r-switches-ds.html,
Nexus 9100 800G,N9164E-NS4-O,Fixed,Spine / Leaf (AI fabric),2 RU,100/200/400/800G,800G,,,51.2 Tbps,NX-OS,"VXLAN, EVPN, adaptive routing, AI/ML congestion mgmt, telemetry",64 x 800G OSFP (also 400/200/100G); 160 MB on-die buffer,2 RU 64-port OSFP 800G fixed switch on NVIDIA Spectrum-4 silicon; 51.2 Tbps; NVIDIA Cloud Partner reference-architecture compliant,"AI/ML fabric (large AI clusters, lossless Ethernet backend)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/n9164e-ns4-o-switch-ds.html,
Nexus 9300-GX2,N9K-C9332D-GX2B,Fixed,Spine / Leaf,1 RU,10/25/40/50/100/200/400G,400G,,,25.6 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",32 x 400G (up to 128 x 100G via breakout) + 2 x 1/10G SFP+,1 RU 32x400G QSFP-DD + 2x SFP+ fixed switch; compact high-density 400G; 8 ports MACsec,"DC leaf/spine, 400G fabric",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-743854.html,
Nexus 9300-GX2,N9K-C9332D-GX2B-M,Fixed,Spine / Leaf,1 RU,10/25/40/50/100/200/400G,400G,,,25.6 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",32 x 400G (up to 128 x 100G via breakout) + 2 x 1/10G SFP+,1 RU 32x400G variant of the GX2B; 25.6 Tbps,"DC leaf/spine, 400G fabric",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-743854.html,
Nexus 9300-GX2,N9K-C9348D-GX2A,Fixed,Spine / Leaf,2 RU,10/25/40/50/100/200/400G,400G,,,38.4 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",48 x 400G (up to 192 x 100G via breakout) + 2 x 1/10G SFP+,2 RU 48x400G QSFP-DD + 2x SFP+ fixed switch; MACsec on all 48 ports,High-density 400G spine/leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-743854.html,
Nexus 9300-GX2,N9K-C9364D-GX2A,Fixed,Spine / Leaf,2 RU,10/25/40/50/100/200/400G,400G,,,51.2 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",64 x 400G (up to 256 x 100G via breakout),2 RU 64x400G QSFP-DD fixed switch (16 ports with encryption); highest-density GX2,High-density 400G spine,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-743854.html,
Nexus 9300-GX,N9K-C9316D-GX,Fixed,Spine / Leaf,1 RU,10/25/40/50/100/200/400G,400G,,,12.8 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",16 x 400G (up to 64 x 100G via breakout),1 RU 16x400G QSFP-DD fixed switch; flexible 10-400G in a compact form,Compact 400G leaf/spine,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,
Nexus 9300-GX,N9K-C93600CD-GX,Fixed,Spine / Leaf,1 RU,10/25G; 40/100/400G,400G,,,12 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",28 x 40/100G QSFP28 + 8 x 400G QSFP-DD (36 native),1 RU switch with 28x40/100G + 8x400G uplinks; 12 Tbps,100G leaf with 400G uplinks,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,
Nexus 9300-GX,N9K-C9364C-GX,Fixed,Spine / Leaf,2 RU,40/100G,100G,,,12.8 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",64 x 40/100G QSFP28,2 RU 64x40/100G QSFP28 fixed switch; 12.8 Tbps,100G spine/leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-gx-series-switches-ds.html,
Nexus 9300 (H-series),N9K-C9332D-H2R,Fixed,Spine / Leaf,1 RU,10/25/40/50/100/200/400G,400G,,,25.6 Tbps,NX-OS,"VXLAN, EVPN, MACsec, AI/ML congestion mgmt",32 x 400G (up to 128 x 100G via breakout),1 RU 32x400G fixed switch tuned for AI/ML congestion management; 25.6 Tbps,"AI/ML leaf/spine, 400G fabric",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9332d-h2r-switch-ds.html,
Nexus 9300 (H-series),N9K-C93400LD-H1,Fixed,Leaf,1 RU,10/25/50/100/400G,400G,,,Verify (see datasheet),NX-OS,"VXLAN, EVPN, MACsec (verify)",Verify (see datasheet),Low-density 400G leaf switch; port configuration to be confirmed from datasheet,"AI/ML leaf/spine, 400G fabric",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nb-06-nexus-93400ld-h1-switch-ds-cte-en.html,
Nexus 9300 100G,N9K-C9364C-H1,Fixed,Spine / Leaf,2 RU,40/100G,100G,,,12.8 Tbps (verify),NX-OS,"VXLAN, EVPN, MACsec",64 x 40/100G (verify),2 RU 64-port 100G fixed switch; specs to be confirmed from datasheet,100G spine/leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364c-h1-switch-ds.html,
Nexus 9300-SE1,N9K-C9336C-SE1,Fixed,Leaf / Spine,1 RU,40/100G,100G,,,7.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec, services / smart switch",36 x 40/100G QSFP28,1 RU 36x40/100G smart switch on Silicon One with on-board services capabilities,Services leaf / smart switch,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-se1-switch-ds.html,
Nexus 9300-SE1,N9K-C9348Y12C-SE1,Fixed,Leaf,1 RU,1/10/25G; 40/100G uplink,100G,,,5.6 Tbps,NX-OS,"VXLAN, EVPN, MACsec, services / smart switch",48 x 1/10/25G SFP28 + 12 x 40/100G QSFP28 (60),1 RU 48x1/10/25G + 12x40/100G smart switch on Silicon One; 5.6 Tbps,Services leaf / smart switch,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-se1-switch-ds.html,
Nexus 9300-SE1,N9K-C9396Y12C-SE1,Fixed,Leaf,2 RU,1/10/25/50G; 40/100G uplink,100G,,,9.6 Tbps,NX-OS,"VXLAN, EVPN, MACsec, services / smart switch",96 x 1/10/25G (48 SFP+ / 48 SFP56 up to 50G) + 12 x 40/100G QSFP28 (108),"2 RU 96x1/10/25G (SFP56 rows to 50G) + 12x40/100G smart switch on Silicon One; 9.6 Tbps, 2.304 Bpps",Services leaf / smart switch (high density),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-se1-switch-ds.html,
Nexus 9300-SE1,N9K-C9396T12C-SE1,Fixed,Leaf,2 RU,100M/1/10G BASE-T; 40/100G uplink,100G,,,4.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec, services / smart switch",96 x 10GBASE-T (100M/1/10G) + 12 x 40/100G QSFP28 (108),"2 RU 96x10GBASE-T + 12x40/100G smart switch on Silicon One; 4.2 Tbps, 2.6 Bpps","Services leaf / smart switch (copper, high density)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-se1-switch-ds.html,
Nexus 9300-SE1,N9348Y12C-SE1,Fixed,Leaf / ToR (access),1 RU,1/10/25/50G,100G,,,5.6 Tbps,NX-OS,"Silicon One ASIC; L2/L3, VXLAN; managed via Nexus Dashboard 4.1 (external fabrics)",60 total: 32 x 1/10/25G + 16 x 1/10/25/50G downlinks + 12 x 40/100G uplinks,1 RU ToR on Silicon One; 48 access ports + 12 x 40/100G uplinks; non-oversubscribed compact design,Enterprise DC server access / ToR,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9300-se1-switch-ds.html,New SE1 software base - check per-feature parity (ReadMe First) before committing RFP feature lists
Nexus 9300-SE1U,N9324C-SE1U,Fixed,Leaf / Services (security),1 RU,10/25/100G,100G,,,2.4 Tbps front-panel + 800G DPU service throughput,NX-OS + Hypershield,"Silicon One E100 + AMD DPUs (128 GB); stateful L4 segmentation, line-rate MACsec all ports, VXLAN EVPN, 64 MB buffer",24 x 100G QSFP28 (4x25G / 4x10G breakout),1 RU 24p 100G smart switch with 800G DPU service capacity; DPUs can be powered off when unused,DC leaf with embedded distributed firewall / segmentation (Hypershield),https://www.cisco.com/c/en/us/products/collateral/switches/9300-series-smart-switches/n9300-series-smart-switch-ds.html,DPU acceleration requires DCN Premier tier + separate Hypershield license; L4 zone-based segmentation per licensing/roadmap - verify availability
Nexus 9300-SE1U,N9348Y2C6D-SE1U,Fixed,Leaf / Services (security),1 RU,1/10/25G,400G,,,3.8 Tbps front-panel + 800G DPU service throughput,NX-OS + Hypershield,"Silicon One E100 + AMD DPUs (128 GB); stateful L4 segmentation, line-rate MACsec all ports, VXLAN EVPN, 64 MB buffer",56 total: 48 x 25G SFP28 + 2 x 100G QSFP28 + 6 x 400G QSFP-DD (4x100/4x25/4x10 breakouts),1 RU 48p 25G + 2p 100G + 6p 400G smart switch with 800G DPU service capacity,Server access leaf with embedded distributed firewall / segmentation (Hypershield),https://www.cisco.com/c/en/us/products/collateral/switches/9300-series-smart-switches/n9300-series-smart-switch-ds.html,Same licensing caveat as N9324C-SE1U; power figures on data sheet are initial estimates
Nexus 9300-FX3,N9K-C93180YC-FX3,Fixed,Leaf / Access,1 RU,1/10/25G; 40/100G uplink,100G,,,3.6 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",48 x 1/10/25G SFP28 + 6 x 40/100G QSFP28 (54),1 RU 48x1/10/25G SFP28 + 6x40/100G uplinks; 3.6 Tbps server-access leaf,Leaf / ToR server access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,Use code N9K-C93108-FX3-B8C for dual switch and optics bundle
Nexus 9300-FX3,N9K-C93108TC-FX3,Fixed,Leaf / Access,1 RU,100M/1/2.5/5/10G BASE-T; 40/100G uplink,100G,,,2.16 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",48 x multigig BASE-T + 6 x 40/100G QSFP28 (54),1 RU 48x100M-10G copper BASE-T + 6x40/100G uplinks; 2.16 Tbps,Copper leaf / ToR access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX3,N9K-C93108TC-FX3P,Fixed,Leaf / Access,1 RU,100M/1/2.5/5/10G BASE-T (PoE); 40/100G uplink,100G,,,2.16 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, PoE, telemetry",48 x multigig BASE-T (PoE) + 6 x 40/100G QSFP28 (54),1 RU PoE multigig copper access switch + 6x40/100G uplinks; 2.16 Tbps,PoE access / leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX3,N9K-C93180YC-FX3H,Fixed,Leaf / Access,1 RU,1/10/25G; 40/100G uplink,100G,,,3.6 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, PTP/SyncE, telemetry",48 x 1/10/25G SFP28 + 6 x 40/100G QSFP28 (54),1 RU 48x1/10/25G + 6x40/100G FX3 'H' hardware variant; 3.6 Tbps (verify exact differences from FX3),Leaf / ToR server access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX3,N9K-C93108TC-FX3H,Fixed,Leaf / Access,1 RU,100M/1/2.5/5/10G BASE-T; 40/100G uplink,100G,,,2.16 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",48 x multigig BASE-T + 6 x 40/100G QSFP28 (54),1 RU 48x100M-10G copper BASE-T + 6x40/100G FX3 'H' hardware variant; 2.16 Tbps (verify exact differences from FX3),Copper leaf / ToR access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX3,N9K-C9348GC-FX3,Fixed,Access,1 RU,10M/100M/1G BASE-T; 1/10/25G + 40/100G uplink,100G,,,696 Gbps,NX-OS,"VXLAN, EVPN, MACsec, telemetry",48 x 1G BASE-T + 4 x 1/10/25G SFP28 + 2 x 40/100G QSFP28 (54),1 RU 48x1G copper access + 4x25G + 2x100G uplinks; 696 Gbps,1G access / ToR with local switching,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX3,N9K-C9348GC-FX3PH,Fixed,Access,1 RU,1G BASE-T + 100M PoE; 1/10/25G + 40/100G uplink,100G,,,696 Gbps,NX-OS,"VXLAN, EVPN, MACsec, PoE/PoE++, telemetry",40 x 1G + 8 x 100M PoE + 4 x 1/10/25G + 2 x 40/100G (54),1 RU access switch with 8 PoE/PoE++ ports for phones/APs + 25G/100G uplinks; 696 Gbps,"PoE access (IP phones, APs)",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-744052.html,
Nexus 9300-FX2,N9K-C9336C-FX2,Fixed,Leaf / Spine,1 RU,40/100G,100G,,,7.2 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",36 x 40/100G QSFP28,1 RU 36x40/100G QSFP28 leaf/spine; 7.2 Tbps; widely deployed VXLAN fabric switch,"100G leaf/spine, VXLAN fabric",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742282.html,
Nexus 9300-FX2,N9K-C9336C-FX2-E,Fixed,Leaf / Spine,1 RU,40/100G,100G,,,7.2 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",36 x 40/100G QSFP28,1 RU enhanced 36x40/100G QSFP28 leaf/spine; 7.2 Tbps,100G leaf/spine,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742282.html,
Nexus 9300-FX2,N9K-C93360YC-FX2,Fixed,Leaf,2 RU,10/25G; 40/100G uplink,100G,,,7.2 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",96 x 10/25G SFP28 + 12 x 40/100G QSFP28 (108),2 RU high-density 96x10/25G + 12x40/100G uplinks; 7.2 Tbps,High-density 25G server leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742282.html,
Nexus 9300-FX2,N9K-C93240YC-FX2,Fixed,Leaf,1.2 RU,10/25G; 40/100G uplink,100G,,,~4.8 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, telemetry",48 x 10/25G SFP28 + 12 x 40/100G QSFP28 (60),1.2 RU 48x10/25G + 12x40/100G uplinks server leaf,25G server leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742282.html,
Nexus 9300-FX2,N9K-C93216TC-FX2,Fixed,Leaf,2 RU,100M/1/10G BASE-T; 40/100G uplink,100G,,,4.32 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, segment routing, telemetry",96 x 10GBASE-T (100M/1/10G) + 12 x 40/100G QSFP28 (108),2 RU 96x10GBASE-T copper + 12x40/100G uplinks; 4.32 Tbps; MACsec capable,High-density 10GBASE-T copper server leaf,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742282.html,
Nexus 9300-FXP,N9K-C9348GC-FXP,Fixed,Access,1 RU,100M/1G BASE-T; 1/10/25G + 40/100G uplink,100G,,,696 Gbps,NX-OS,"VXLAN, EVPN, telemetry",48 x 1G BASE-T + 4 x 1/10/25G SFP28 + 2 x 40/100G QSFP28 (54),1 RU 48x1G copper access + 4x25G + 2x100G uplinks; 696 Gbps with local switching,1G access / ToR,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-742284.html,
Nexus 9300 (spine),N9K-C9364C,Fixed,Spine,2 RU,40/100G,100G,,,12.8 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec",64 x 40/100G QSFP28,2 RU 64x40/100G spine switch; 12.8 Tbps,100G spine,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-739886.html,
Nexus 3000,N3K-C36180YC-R,Fixed,Access / Aggregation,1 RU,1/10/25G; 40/100G uplink,100G,,,3.6 Tbps,NX-OS,MACsec,48 x 1/10/25G SFP28 + 6 x 40/100G QSFP28 (54),"Nexus 36180YC-R, 48p 10/25G and 6p QSFP28",Access / Aggregation switch,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3000-series-switches/datasheet-c78-739189.html#Productoverview,
Nexus 3000,N3K-C3548P-XL,Fixed,Access,1 RU,10G,10G,,,960 Gbps,NX-OS,,48 x 1/10/SFP+ ,Switch-on-a-Chip (SoC) and Top-of-the-Rack (ToR) architecture switches,ToR access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3548-switch/data_sheet_c78-707001.html,
Nexus 3000,N3K-C3524P-XL,Fixed,Access,1 RU,10G,10G,,,480 Gbps,NX-OS,,24 x 1/10/SFP+ ,Switch-on-a-Chip (SoC) and Top-of-the-Rack (ToR) architecture switches,ToR access,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-3548-switch/data_sheet_c78-707001.html,
MDS 9700,DS-C9706 (MDS 9706),Modular Chassis,SAN Director,9 RU,8/16/32/64G FC; 10/40G FCoE,64G FC,4 (I/O slots),"2 supervisor, up to 6 fabric modules",Up to 12 Tbps,MDS NX-OS,"Fibre Channel, NVMe/FC, FCoE, SAN Analytics, FICON, VSAN, IVR (no VXLAN/EVPN)",192 FC ports (48-port 64G modules x 4 I/O slots),9 RU 6-slot SAN director (4 I/O + 2 sup); up to 192 FC ports; NVMe/FC and SAN Analytics,SAN / storage (small-to-mid director),https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9706-multilayer-director/datasheet-c78-731478.html,
MDS 9700,DS-C9710 (MDS 9710),Modular Chassis,SAN Director,14 RU,8/16/32/64G FC; 10/40G FCoE,64G FC,8 (I/O slots),"2 supervisor, up to 6 fabric modules",Up to 24 Tbps,MDS NX-OS,"Fibre Channel, NVMe/FC, FCoE, SAN Analytics, FICON, VSAN, IVR (no VXLAN/EVPN)",384 FC ports (48-port 64G modules x 8 I/O slots),14 RU 10-slot SAN director (8 I/O + 2 sup); up to 384 FC ports,SAN / storage (mid-to-large director),https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9700-series-multilayer-directors/data-sheet_c78-727769.html,
MDS 9700,DS-C9718 (MDS 9718),Modular Chassis,SAN Director,26 RU,8/16/32/64G FC; 10/40G FCoE,64G FC,16 (I/O slots),"2 supervisor, up to 6 fabric modules",Up to 48 Tbps,MDS NX-OS,"Fibre Channel, NVMe/FC, FCoE, SAN Analytics, FICON, VSAN, IVR (no VXLAN/EVPN)",768 FC ports (1152 per rack),26 RU 18-slot SAN director (16 I/O + 2 sup); up to 768 FC ports; largest MDS director,SAN / storage (largest director),https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9700-series-multilayer-directors/datasheet-c78-736318.html,
MDS 9300,DS-C9396V (MDS 9396V),Fixed,SAN Fabric Switch,2 RU,8/16/32/64G FC,64G FC,,,96 ports @ 64G,MDS NX-OS,"Fibre Channel, NVMe/FC, SAN Analytics, VSAN, IVR (no VXLAN/EVPN)",96 x 64G FC,2 RU 96-port 64G FC fixed fabric switch; NVMe/FC and on-board SAN Analytics,SAN / storage fabric (high density),https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9300-series-multilayer-fabric-switches/nb-06-mds-9396v-64-gbps-96-port-fiber-ds-cte-en.html,
MDS 9300,DS-C9396T (MDS 9396T),Fixed,SAN Fabric Switch,2 RU,8/16/32G FC,32G FC,,,96 ports @ 32G (48 active base),MDS NX-OS,"Fibre Channel, NVMe/FC ready, SAN Analytics, VSAN, IVR (no VXLAN/EVPN)","96 x 32G FC (base 48, on-demand to 96)","2 RU 96-port 32G FC fixed fabric switch (48 active base, license to 96); NVMe-ready; 32G predecessor to 9396V","SAN / storage fabric (medium-large; Active - no EOS announced, verify via EoX)",https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9396t-32-gbps-96-port-fibre-channel-switch/data-sheet-c78-740633.html,
MDS 9100,DS-C9148V (MDS 9148V),Fixed,SAN Fabric Switch,1 RU,8/16/32/64G FC,64G FC,,,48 ports @ 64G,MDS NX-OS,"Fibre Channel, NVMe/FC, SAN Analytics, VSAN, IVR (no VXLAN/EVPN)",48 x 64G FC,"1 RU 48-port 64G FC fabric switch; next-gen ASIC, SAN Analytics",SAN / storage fabric,https://www.cisco.com/c/en/us/products/collateral/storage-networking/mds-9100-series-multilayer-fabric-switches/mds-9148v-fibre-channel-switch-ds.html,
