Supertype,Device Type,Model,Deployment Category,Unified architecture,Family,Antenna,SD-WAN,WAN ports detail,WAN ports amount,WAN port max,LAN ports detail,LAN ports amount,LAN port max,Client Recommendation,Recommended Max VPN Tunnels,Throughput,Advanced Security Throughput,PIM Modules,PIM types,SM Modules,SM types,NIM Modules,NIM types,Cellular,Features,Ordering information,Description,Notes,List Order,Datasheet
C8100-G2,"Rack, Desktop",C8131-G2,Small branch,No,Catalyst,No,Yes,1x 1GbE RJ45/SFP Combo,1,1 Gbps,"2x 1GbE RJ45 Flex , 2x 1GbE RJ45",4,1 Gbps,,250,1.9 Gbps,1.0 Gbps,0,,0,,0,,,"secure routers, Cryptography",C8131-G2,Fanless compact secure router with fiber option,"Combines SFP , RJ45 options",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8140-G2,Small branch,No,Catalyst,No,No,2x 1GbE RJ45/SFP Combo,2,1 Gbps,"2x 1GbE RJ45 Flex , 6x 1GbE RJ45",8,1 Gbps,,250,5.6 Gbps,1.5 Gbps,0,,0,,0,,,"secure routers, Cryptography",C8140-G2,High port density secure router,Offers 10 total 1GbE ports,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8151-G2,Small branch,No,Catalyst,Yes,Yes,2x 1GbE RJ45/SFP Combo,2,1 Gbps,"2x 1GbE RJ45 Flex , 6x 1GbE RJ45",8,1 Gbps,,250,5.6 Gbps,1.0 Gbps,1,"P-LTEA7-EAL, P-LTEA7-JP",0,,0,,Optional Pluggable Module – LTE or 5G,"secure routers, LTE, Cryptography",C8151-G2,Secure router with optional cellular backup,Optional PIM slot for CAT7 LTE or 5G,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8151-CVAI-G2,Small branch,No,Catalyst,Yes,Yes,"1x 1GE RJ-45/SFP combo,1 x RJ-11 (DSL), 1 x XGSPON/10G BASE-T",1,1 Gbps,"2x 1GbE RJ45 Flex , 6x 1GbE RJ45",8,1 Gbps,,250,5.6 Gbps,1.0 Gbps,1,"P-LTEA7-EAL, P-LTEA7-JP",0,,0,,Embedded 5G 3GPP Release 17 module with dual nano SIM slots,"secure routers, LTE, Cryptography",C8151-CVAI-G2/2,Secure router with optional cellular backup with Embedded DSL,VAI -> VDSL/ADSL over ISDN (Annex B/J)​,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8151-CVAP-G2,Small branch,No,Catalyst,Yes,Yes,"1x 1GE RJ-45/SFP combo,1 x RJ-11 (DSL), 1 x XGSPON/10G BASE-T",1,1 Gbps,"2x 1GbE RJ45 Flex , 6x 1GbE RJ45",8,1 Gbps,,250,5.6 Gbps,1.0 Gbps,1,"P-LTEA7-EAL, P-LTEA7-JP",0,,0,,Embedded 5G 3GPP Release 17 module with dual nano SIM slots,"secure routers, LTE, Cryptography",C8151-CVAP-G2,Secure router with optional cellular backup with Embedded DSL,VAP –> VDSL/ASDL over POTS (Annex A),2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8161-G2,Small branch,No,Catalyst,Yes,Yes,2x 1GbE RJ45/SFP Combo,2,1 Gbps,"2x 1GbE RJ45 Flex , 6x 1GbE RJ45",8,1 Gbps,,250,5.6 Gbps,1.0 Gbps,1,"P-LTEA7-EAL, P-LTEA7-JP",0,,0,,Optional Pluggable Module – LTE or 5G,"secure routers, LTE, PoE, Cryptography",C8161-G2,"Secure router with PoE , optional cellular","PoE: 4 PoE or 2 PoE+ ports, max power 80W",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,Rack,C8111-G2-MX,Small branch,No,Meraki,No,Yes,2x 2.5GbE mGig RJ45,2,2.5 Gbps,4x 1GbE RJ45,4,1 Gbps,200,,2 Gbps,1.0 Gbps,0,,0,,0,,Yes,"secure routers, PoE, multigigabit capable, Cryptography",C8111-G2-MX,Unified architecture small branch secure router,Managed via Meraki dashboard,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,Rack,C8121-G2-MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://documentation.meraki.com/SASE_and_SD-WAN/MX/Product_Information/Overviews_and_Datasheets/C8111-G2-MX_and_C8121-G2-MX_Data_Sheet
C8100-G2,Rack,C8121-CW-G2-MX,Small branch,No,Meraki,No,Yes,2x 2.5GbE mGig RJ45,2,2.5 Gbps,10x 1GbE RJ45,10,1 Gbps,200,,2 Gbps,1.0 Gbps,0,,0,,0,,Yes,"secure routers, PoE, multigigabit capable, Cryptography",C8121-CW-G2-MX,Unified architecture secure router with high port density,Managed via Meraki dashboard,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8200-G2,Rack,C8231-G2,Medium branch,No,Catalyst,No,Yes,2x 10GbE SFP+,2,10 Gbps,"4x 2.5GbE mGig RJ45 , 4x 1GbE RJ45",8,2.5 Gbps,,700,19 Gbps,4 Gbps,0,,0,,0,,,"secure routers, PoE, multigigabit capable, Cryptography, Memory 8GB",C8231-G2,Medium branch secure router,,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8200-series-secure-routers-ds.html
C8200-G2,Desktop,C8231-E-G2,Medium branch,No,Catalyst,No,Yes,2x 10GbE SFP+,2,10 Gbps,"4x 2.5GbE mGig RJ45 , 4x 1GbE RJ45",8,2.5 Gbps,,700,19 Gbps,4 Gbps,1,,0,,1,"C-NIM-WAN-2X, C-NIM-WAN-4S, C-NIM-4X, C-NIM-8T, C-NIM-8M, NIM-1T, NIM-2T, NIM-4T, NIM-16A, NIM-24A",Optional Pluggable Module – LTE or 5G,"secure routers, PoE, multigigabit capable, Cryptography, Memory 8GB",C8231-E-G2,Medium branch secure router,"Storage	16 GB, Upgradeable to 600 GB",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8200-series-secure-routers-ds.html
C8200-G2,Rack,C8235-G2,Medium branch,No,Catalyst,No,Yes,2x 10GbE SFP+,2,10 Gbps,8x 2.5GbE mGig RJ45,8,2.5 Gbps,,700,19 Gbps,4 Gbps,1,,0,,0,,Optional Pluggable Module – LTE or 5G,"secure routers, PoE, multigigabit capable, Cryptography, Memory 16GB",C8235-G2,High performance medium branch secure router,High-speed 10G interfaces,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8200-series-secure-routers-ds.html
C8200-G2,Desktop,C8235-E-G2,Medium branch,No,Catalyst,No,Yes,2x 10GbE SFP+,2,10 Gbps,8x 2.5GbE mGig RJ45,8,2.5 Gbps,,700,19 Gbps,4 Gbps,1,,0,,1,"C-NIM-WAN-2X, C-NIM-WAN-4S, C-NIM-4X, C-NIM-8T, C-NIM-8M, NIM-1T, NIM-2T, NIM-4T, NIM-16A, NIM-24A",Optional Pluggable Module – LTE or 5G,"secure routers, PoE, multigigabit capable, Cryptography, Memory 16GB",C8235-E-G2,Rackmount medium branch secure router,"Storage	16 GB, Upgradeable to 600 GB",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8200-series-secure-routers-ds.html
C8300-G2,Rack,C8355-G2,Large branch,No,Catalyst,No,Yes,"2x 10GbE SFP+, 2 x 5G mGig RJ45 (2x UPoE+)",4,10 Gbps,"2 x 5G mGig RJ45 (2x UPoE+), 2 x 1G RJ45",4,5 Gbps,,3500,38 Gbps,8.7 Gbps,1,"P-LTEA-EAL, P-5GS6-R16SA-GL",2,"C-SM-16P4M2X, C-SM-40P8M2X",2,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1X",Optional Pluggable Module,"secure routers, PoE, Redundant PSU, Cryptography",C8355-G2,Large branch modular secure router,"Advanced routing , VPN services",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8300-series-secure-routers-ds.html
C8300-G2,Rack,C8375-E-G2,Large branch,No,Catalyst,No,Yes,2x 10GbE SFP+,2,10 Gbps,Modular expansion via SM/NIM slots,0,10 Gbps,,3500,38 Gbps,12 Gbps,1,P-LTEA-EAL,2,"C-SM-16P4M2X, C-SM-40P8M2X",2,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1X",,"secure routers, PoE, Redundant PSU, Cryptography",C8375-E-G2,High performance large branch secure router,"Dual power supplies st,ard",2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8300-series-secure-routers-ds.html
C8400-G2,Rack,C8455-G2,Campus,Yes,Catalyst,No,Yes,2x 25GbE SFP28,2,25 Gbps,"2x 10GbE SFP+ , 8x 1GbE SFP",10,10 Gbps,,3500,67 Gbps,15.5 Gbps,0,,0,,0,,,"secure routers, Redundant PSU, Has fans, Cryptography",C8455-G2,High performance campus secure router,Hardware acceleration for AI/ML workloads,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8400-series-secure-routers-ds.html
C8400-G2,Rack,C8455-G2-MX,Campus,Yes,Meraki,No,Yes,2x 25GbE SFP28,2,25 Gbps,4 x 10G SFP+,4,10 Gbps,2000,2000,20 Gbps,8 Gbps,0,,0,,0,,,"secure routers, Redundant PSU, Has fans, Cryptography",C8455-G2-MX,Unified architecture campus secure router,Managed via Meraki dashboard,2,https://documentation.meraki.com/SASE_and_SD-WAN/MX/Product_Information/Overviews_and_Datasheets/C8455-G2-MX_Data_Sheet
C8400-G2,Rack,C8475-G2,Campus,No,Catalyst,No,Yes,2x 25GbE SFP28,2,25 Gbps,"2x 10GbE SFP+ , 8x 1GbE SFP",10,10 Gbps,,10000,91 Gbps,,0,,0,,0,,,"secure routers, Redundant PSU, Has fans, Cryptography",C8475-G2,Ultra high performance campus secure router,5.8M route scale,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8400-series-secure-routers-ds.html
C8500-G2,Rack,C8550-G2,Data center,No,Catalyst,No,Yes,12x 10GbE SFP+,12,10 Gbps,Can be configured via ports,0,10 Gbps,,10000,115 Gbps,19 Gbps,0,,0,,0,,,"secure routers, Redundant PSU, Has fans, Cryptography",C8550-G2,Secure WAN aggregation router,1RU form factor,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8500-series-secure-routers-ds.html
C8500-G2,Rack,C8570-G2,Data center,No,Catalyst,No,Yes,"12x 10GbE SFP+ , 2x 40GbE QSFP+ , 2x 100GbE QSFP28",16,100 Gbps,Can be configured via ports,0,100 Gbps,,10000,190 Gbps,21 Gbps,0,,0,,0,,,"secure routers, Redundant PSU, Has fans, Cryptography",C8570-G2,High scale data center secure router,Max 240GE of ports enabled simultaneously,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8500-series-secure-routers-ds.html
ISR1000,Desktop,ISR1100-4G,Small branch,No,Catalyst,No,Yes,4x 1GbE RJ45,4,1 Gbps,Shared with WAN ports,4,1 Gbps,,250,1.1 Gbps,477 Mbps,0,,0,,0,,,"Cryptography, Memory 4GB",ISR1100-4G,vEdge 100B migration platform,Supports Viptela OS or IOS XE SD-WAN,4,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/datasheet-c78-742893.html
ISR1000,Desktop,ISR1100-4GLTEGB,Small branch,No,Catalyst,Yes,Yes,4x 1GbE RJ45,4,1 Gbps,Shared with WAN ports,4,1 Gbps,,250,1.1 Gbps,477 Mbps,0,,0,,0,,,"LTE, Cryptography, Memory 4GB",ISR1100-4GLTEGB,vEdge 100M migration platform,Built-in CAT4 LTE,4,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/datasheet-c78-742893.html
ISR1000,Desktop,ISR1100-6G,Small branch,No,Catalyst,No,Yes,"4x 1GbE RJ45 , 2x 1GbE SFP",6,1 Gbps,Shared with WAN ports,6,1 Gbps,,1500,1.6 Gbps,1889 Mbps,0,,0,,0,,,"Cryptography, Memory 4GB",ISR1100-6G,vEdge 1000 migration platform,Supports Viptela OS or IOS XE SD-WAN,4,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/datasheet-c78-742893.html
ISR1000,Desktop,ISR1100X-4G,Small branch,No,Catalyst,No,Yes,4x 1GbE RJ45,4,1 Gbps,Shared with WAN ports,4,1 Gbps,,500,477 Mbps,,0,,0,,0,,,"Cryptography, Memory 8GB",ISR1100X-4G,Advanced security vEdge 100B migration platform,Includes 8GB DRAM,4,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/datasheet-c78-742893.html
ISR1000,Desktop,ISR1100X-6G,Small branch,No,Catalyst,No,Yes,"4x 1GbE RJ45 , 2x 1GbE SFP",6,1 Gbps,Shared with WAN ports,6,1 Gbps,,3000,1889 Mbps,,0,,0,,0,,,"Cryptography, Memory 8GB",ISR1100X-6G,Advanced security vEdge 1000 migration platform,Includes 8GB DRAM,4,cisco.com/c/en/us/products/collateral/routers/1000-series-integrated-services-routers-isr/datasheet-c78-742893.html
